model,accuracy,precision,recall,f1,timestamp
FC_TFIDF,0.858,0.8422,0.7881,0.8107,2026-02-07T11:10:00
FC_EMB_AVG,0.381,0.1255,0.1944,0.1505,2026-02-07T11:19:57
FC_EMB_AVG,0.415,0.2358,0.2189,0.1815,2026-02-07T11:20:47
FC_BOW,0.884,0.8445,0.822,0.8324,2026-02-07T11:24:58
FC_BOW,0.8695,0.8307,0.8119,0.8207,2026-02-07T11:28:20
FC_TFIDF,0.854,0.8308,0.786,0.8053,2026-02-07T11:31:54
FC_BOW,0.8885,0.8431,0.8408,0.8417,2026-02-07T13:53:01
FC_TFIDF,0.843,0.6902,0.6712,0.6766,2026-02-07T13:53:40
FC_TFIDF,0.873,0.8442,0.8066,0.8237,2026-02-07T13:56:48
FC_TFIDF,0.874,0.8281,0.8264,0.8266,2026-02-07T14:00:06
RNN_LSTM,0.903,0.8496,0.8499,0.8482,2026-02-07T14:21:06
RNN_LSTM,0.8795,0.8155,0.8389,0.8201,2026-02-07T14:24:28
TRANSFORMER,0.924,0.8707,0.899,0.8831,2026-02-08T14:55:17
